ID,Xcor,Ycor
11348,4902,611
14950,4696,673
34846,3838,903
52181,5584,1066
55446,6105,1097
56982,6584,1112
60202,3856,1144
61149,3040,1154
85350,4113,1381
93097,2070,1447
108058,4968,1564
108319,6363,1566
113860,4594,1608
120323,4115,1658
128842,3043,1726
131174,8296,1746
131797,2753,1752
136940,2378,1797
137683,1580,1804
140377,4955,1828
143887,5438,1860
148884,7718,1905
151246,6132,1927
152719,6899,1941
155835,4478,1971
160541,3806,2016
163730,3152,2049
167287,4534,2083
168795,4101,2099
170010,1915,2112
176487,6777,2180
176535,1983,2181
180084,2564,2221
183621,8002,2259
184152,3347,2265
187240,4333,2299
187397,3230,2301
191329,3335,2346
191540,8072,2347
192896,2613,2363
193236,2728,2367
196871,3978,2407
201010,3482,2455
201271,4033,2458
202525,6760,2473
209790,3479,2562
210235,3570,2568
210942,4304,2577
211990,8325,2590
212528,4579,2597
214178,8131,2616
215229,8161,2628
215448,3578,2631
215736,7173,2634
216475,3057,2642
218884,1397,2667
219270,2878,2671
219391,8237,2672
220888,2365,2688
222872,6126,2708
226038,4549,2738
231858,1796,2792
232618,6312,2799
233390,6024,2806
237039,3670,2840
241246,8396,2878
245665,825,2921
246008,3162,2924
246487,8427,2928
257787,9335,3036
258982,6619,3047
260233,3742,3060
262638,1802,3086
263853,1971,3100
264664,5000,3109
264814,881,3111
267193,6097,3138
267550,6156,3142
267828,5077,3145
268948,9251,3157
270644,7016,3176
271396,630,3185
271602,4262,3187
273725,5962,3212
278012,3330,3262
283553,3003,3328
285792,3091,3356
286815,7267,3369
292843,6197,3450
293640,4417,3461
293945,6288,3465
295033,4712,3480
296212,5462,3497
299194,8155,3538
301083,2865,3564
302607,5842,3584
303924,2670,3602
306956,669,3642
307256,5483,3646
309927,4711,3683
310571,7748,3691
313706,7567,3731
315983,1289,3763
316710,1624,3773
317250,9130,3780
322860,4350,3859
322931,7418,3860
323001,3671,3861
323077,3227,3862
326405,7820,3908
327364,895,3922
330100,8976,3960
331969,1084,3987
337576,7630,4070
337912,1642,4075
339902,3640,4104
341536,4496,4129
343468,1586,4157
343613,6907,4160
344314,1241,4171
344428,8881,4172
347388,1152,4214
352900,5785,4294
352979,7085,4295
353271,7771,4299
354691,3363,4319
355750,2116,4333
357285,3584,4353
357675,8668,4358
361754,1913,4408
362908,3104,4422
363463,4242,4429
365935,4672,4458
365874,7085,4458
367711,6526,4480
368303,7574,4487
369776,754,4505
372798,2499,4540
374249,3135,4557
377907,3074,4599
378565,6515,4607
379318,3878,4616
380128,5107,4625
380204,2045,4626
382877,6117,4655
383402,3318,4661
383974,9623,4667
385990,1012,4689
387303,3082,4703
388118,7825,4712
388281,5260,4714
388537,3011,4717
390017,6476,4734
391494,9112,4750
393262,1591,4770
393597,6530,4773
397247,4273,4811
398457,2141,4825
398691,8047,4826
403771,2956,4878
405365,2930,4895
405366,3136,4895
406565,1207,4908
409558,4163,4941
410426,8726,4951
411068,1002,4959
412821,5501,4979
414987,9269,5005
415295,4520,5009
417692,4199,5038
418810,9361,5052
419489,4520,5061
420174,4481,5070
420339,8837,5072
420481,7864,5074
421330,8253,5085
423030,1795,5107
424647,3888,5127
425736,628,5140
428587,3365,5175
429671,9976,5187
432114,6838,5217
432126,9326,5217
435639,5102,5259
440707,6245,5318
441832,8658,5330
442518,1272,5338
443726,6037,5351
444176,1477,5356
444929,8253,5364
446308,7645,5379
449799,6894,5418
453988,4645,5466
456176,3829,5492
456236,654,5493
459810,7852,5537
460531,7906,5547
460592,2456,5548
460850,7929,5551
461073,7796,5554
461690,5267,5562
462423,7351,5571
462498,4633,5572
462878,8346,5576
464501,9790,5596
465250,928,5606
471426,1429,5679
471594,2946,5681
472630,5955,5693
472946,7270,5697
479056,8333,5772
480431,8438,5789
483067,2337,5821
483752,8062,5829
484713,6817,5841
485762,5787,5855
487476,6396,5877
488703,3362,5893
489632,3702,5905
489693,3003,5906
489716,7744,5906
490896,7587,5921
492871,1756,5946
492890,7503,5946
493051,9190,5948
494058,1784,5961
495343,7829,5977
496129,7762,5987
501551,1936,6056
502227,6616,6064
503041,4133,6074
506979,9320,6122
508208,4626,6137
509567,5381,6153
510472,2846,6164
510757,9000,6167
511415,4537,6176
512642,9010,6191
513914,6581,6207
514146,7593,6209
514311,8815,6212
514899,3103,6220
515155,7018,6223
515735,1950,6230
515986,4689,6233
516073,8460,6234
518236,9235,6261
518297,7338,6262
519308,8110,6275
520113,6051,6285
522387,1890,6314
524576,8681,6342
530121,9184,6412
530682,7727,6419
532455,7092,6442
532576,3011,6444
533156,6768,6451
537322,1989,6502
539769,9105,6532
540351,2439,6540
546296,862,6616
547526,3678,6631
548449,7183,6642
548742,6375,6646
552581,4414,6692
557007,7754,6745
561726,3891,6799
570925,4671,6913
571162,6609,6916
571576,6434,6921
571799,3175,6924
573774,8113,6948
574090,5272,6952
575422,2162,6969
577127,4580,6991
579328,7332,7018
580193,3150,7029
580983,6806,7039
581103,2230,7041
581282,7364,7043
582389,5902,7057
585503,5313,7095
587385,4622,7119
587907,4188,7126
587914,6137,7126
588049,5469,7128
588579,4990,7135
589386,3945,7145
590065,2636,7154
592592,7321,7186
595205,4230,7217
597823,7832,7248
599224,7074,7265
599798,6722,7272
599806,7816,7272
601131,7744,7288
601293,3407,7290
601510,1146,7292
601896,7982,7297
603997,7565,7322
604073,7084,7323
604740,7450,7331
605380,3120,7339
605471,2020,7340
605816,6558,7344
611553,4182,7412
612354,7753,7422
612550,9180,7423
612750,2661,7426
613401,7168,7433
614712,6269,7449
616632,6440,7471
616850,2445,7474
618359,8328,7491
618541,7324,7493
619175,7514,7500
619464,876,7504
619599,7285,7505
620149,8973,7511
622301,1844,7535
623608,5018,7549
624976,6891,7565
626639,3258,7583
627462,8365,7592
627625,5262,7594
628411,3915,7603
628554,1220,7605
631649,1657,7638
632663,8518,7648
633891,2523,7661
636120,9006,7684
637681,2848,7701
638973,8556,7715
639574,4010,7723
639780,7733,7724
